name,hasAnnotation,hasSentence,Example.Construction,label,comment
Example_3011,['chained by debt'],"['a consumer chained by debt', 'If you', 'where ghost money is created by banks and financial institutions.', 'like the average American', 'then you are a pawn of the finance system', 'allured by your false purchasing power', 'are part of a society that lives paycheck to paycheck']",['Passive-Verb(S) by Noun(T)'],"['If you, like the average American,...']",
Example_2610,['government has catered'],['Alberta Premier Rachel Notley responds to claims her government has catered to the federal government'],['Subject(T) Verb(S)'],['Alberta Premier Rachel Notley responds...'],
Example_4732,['handed an education'],"['I resented them a little', 'until I watched so many friends who were handed an education drop out early and waste their parents money.']",['Verb(S) Direct Object(T)'],"['I resented them a little, until...']",
Example_4724,['income fell'],"['892 in 2009.', 'Their average income fell to $992']",['Subject(T) Verb(S)'],"['Their average income fell to $992,892...']",
Example_2566,['government can cure'],['Nahendeh MLA Shane Thompson has a suggestion for how the N.W.T. government can cure the malaise he says is currently afflicting public sector employees: five more days off a year.'],['Subject(T) Verb(S)'],['Nahendeh MLA Shane Thompson has...'],
Example_4056,,['But the situation demonstrated how water was already being commodified.'],,['But the situation demonstrated...'],
Example_768,['cancer warrior'],"['or someone who had cancer in the past (survivor).', 'someone who currently has cancer', 'In this book', 'a ""cancer warrior"" is defined as someone who is at high risk of developing cancer (previvor)']","[""Noun's(T) Noun(S)""]","['In this book, a ""cancer warrior""...']",
Example_1874,,"['and Art of Political Campaign Management', 'Campaign Craft: The Strategies', 'Tactics']",,"['Campaign Craft: The Strategies,...']",
Example_2156,['chilled with fear'],['At night I often dreamed of it and woke chilled with fear.'],['Verb(S) preposition Noun(T)'],['At night I often dreamed of it...'],
Example_4115,['broken down legislature'],['Since the political breakdown of this broken down legislature is ten Democrats and nine Republicans any shift can be seismic.'],['Adjective(S) Noun(T)'],['Since the political breakdown of...'],
Example_1197,['Wake up to reality'],"['Canada', 'Wake up to reality', ""we've got big changes to make!""]",['Verb(S) preposition Noun(T)'],"[""Wake up to reality, Canada, we've...""]",
Example_3515,,"['the legislature continues to churn out election bills to limit voting rights', 'and the League is responding.', 'Yet despite this fact']",['Subject(T) Verb(S)'],"['Yet despite this fact, the legislature...']",['legislature continues to churn out']
Example_5240,['takes taxes'],"['that there was money with my name on it set aside for me', '"" she said.', 'They told me the government takes taxes out of paychecks for a reason']",['Verb(S) Direct Object(T)'],['They told me the government takes...'],
