Article,,Article_col,Sentence,Tokens,Borderline_metaphor,Real_metaphors,Frame_label,Token_lemma,is_target,distance_from_target
0,0,0,0,.,0,0,_,.,False,-15
0,1,0,1,Illusions,1,1,Medical_conditions,illusion,False,-14
0,2,0,1,fed,1,1,Supply,feed,False,-13
0,3,0,1,",",0,0,_,",",False,-12
0,4,0,1,lo,0,0,_,lo,False,-11
0,5,0,1,and,0,0,_,and,False,-10
0,6,0,1,behold,0,0,_,behold,False,-9
0,7,0,1,.,0,0,_,.,False,-8
0,8,0,2,My,0,0,_,my,False,-7
0,9,0,2,mind,0,0,_,mind,False,-6
0,10,0,2,is,0,0,_,be,False,-5
0,11,0,2,free,1,0,Expensiveness,free,False,-4
0,12,0,2,forever,0,0,_,forever,False,-3
0,13,0,2,.,0,0,_,.,False,-2
0,14,0,3,I,0,0,_,I,False,-1
0,15,0,3,burn,0,0,Fire_burning,burn,True,0
0,16,0,3,with,0,0,_,with,False,1
0,17,0,3,fire,0,0,Fire_burning,fire,False,2
0,18,0,3,and,0,0,_,and,False,3
0,19,0,3,ice,0,0,Substance,ice,False,4
0,20,0,3,and,0,0,_,and,False,5
0,21,0,3,then,0,0,_,then,False,6
0,22,0,3,I,0,0,_,I,False,7
0,23,0,3,melt,0,0,_,melt,False,8
0,24,0,3,.,0,0,_,.,False,9
0,25,0,4,My,0,0,_,my,False,10
0,26,0,4,thoughts,0,0,Cogitation,thought,False,11
0,27,0,4,in,1,0,_,in,False,12
0,28,0,4,dire,1,1,_,dire,False,13
0,29,0,4,reflection,0,0,Cogitation,reflection,False,14
0,30,0,4,.,0,0,_,.,False,15
1,31,1,0,village,0,0,Political_locales,village,False,-14
1,32,1,0,was,0,0,_,be,False,-13
1,33,1,0,destroyed,0,0,Destroying,destroy,False,-12
1,34,1,0,by,0,0,_,by,False,-11
1,35,1,0,the,0,0,_,the,False,-10
1,36,1,0,Janjaweed,0,0,_,Janjaweed,False,-9
1,37,1,0,",",0,0,_,",",False,-8
1,38,1,0,an,0,0,_,an,False,-7
1,39,1,0,Arab-supremacist,0,0,_,arab,False,-6
1,40,1,0,militia.,0,0,_,militia,False,-5
1,41,1,0,``,0,0,_,`,False,-4
1,42,1,1,They,0,0,_,they,False,-3
1,43,1,1,were,0,0,_,be,False,-2
1,44,1,1,all,0,0,Quantified_mass,all,False,-1
1,45,1,1,burned,0,0,Cause_harm,burn,True,0
1,46,1,1,with,0,0,_,with,False,1
1,47,1,1,fire,0,0,Fire_burning,fire,False,2
1,48,1,1,",",0,0,_,",",False,3
1,49,1,1,``,0,0,_,`,False,4
1,50,1,1,he,0,0,_,he,False,5
1,51,1,1,says,0,0,Statement,say,False,6
1,52,1,1,of,0,0,_,of,False,7
1,53,1,1,his,0,0,_,his,False,8
1,54,1,1,fellow,0,0,_,fellow,False,9
1,55,1,1,villagers,0,0,People,villager,False,10
1,56,1,1,",",0,0,_,",",False,11
1,57,1,1,without,1,0,_,without,False,12
1,58,1,1,flinching,0,0,Body_movement,flinch,False,13
1,59,1,1,.,0,0,_,.,False,14
1,60,1,2,His,0,0,_,his,False,15
2,61,2,0,She,0,0,_,she,False,-15
2,62,2,0,never,0,0,Frequency,never,False,-14
2,63,2,0,sleeps,0,0,Sleep,sleep,False,-13
2,64,2,0,Only,0,0,_,only,False,-12
2,65,2,0,roams,0,0,Self_motion,roam,False,-11
2,66,2,0,in,1,0,_,in,False,-10
2,67,2,0,darkness,0,0,_,darkness,False,-9
2,68,2,0,?,0,0,_,?,False,-8
2,69,2,1,One,0,0,Cardinal_numbers,one,False,-7
2,70,2,1,look,0,0,Perception_active,look,False,-6
2,71,2,1,from,0,0,_,from,False,-5
2,72,2,1,her,0,0,_,she,False,-4
2,73,2,1,And,0,0,_,and,False,-3
2,74,2,1,you,0,0,_,you,False,-2
2,75,2,1,'ll,0,0,_,will,False,-1
2,76,2,1,burn,1,1,Fire_burning,burn,True,0
2,77,2,1,with,1,0,_,with,False,1
2,78,2,1,fire,1,0,Fire_burning,fire,False,2
2,79,2,1,?,0,0,_,?,False,3
2,80,2,2,Bring,0,0,Bringing,bring,False,4
2,81,2,2,me,0,0,_,I,False,5
2,82,2,2,proof,0,0,Evidence,proof,False,6
2,83,2,2,of,0,0,_,of,False,7
2,84,2,2,your,0,0,_,your,False,8
2,85,2,2,success,0,0,Success_or_failure,success,False,9
2,86,2,2,",",0,0,_,",",False,10
2,87,2,2,and,0,0,_,and,False,11
2,88,2,2,all,0,0,_,all,False,12
2,89,2,2,that,1,0,_,that,False,13
2,90,2,2,the,0,0,_,the,False,14
2,91,2,2,Swan,0,0,_,Swan,False,15
3,92,3,0,She,0,0,_,she,False,-15
3,93,3,0,never,0,0,Frequency,never,False,-14
3,94,3,0,sleeps,0,0,Sleep,sleep,False,-13
3,95,3,0,Only,0,0,_,only,False,-12
3,96,3,0,roams,0,0,Self_motion,roam,False,-11
3,97,3,0,in,1,0,_,in,False,-10
3,98,3,0,darkness,0,0,_,darkness,False,-9
3,99,3,0,?,0,0,_,?,False,-8
3,100,3,1,One,0,0,Cardinal_numbers,one,False,-7
3,101,3,1,look,0,0,Perception_active,look,False,-6
3,102,3,1,from,0,0,_,from,False,-5
3,103,3,1,her,0,0,_,she,False,-4
3,104,3,1,And,0,0,_,and,False,-3
3,105,3,1,you,0,0,_,you,False,-2
3,106,3,1,'ll,0,0,_,will,False,-1
3,107,3,1,burn,1,1,Fire_burning,burn,True,0
3,108,3,1,with,1,0,_,with,False,1
3,109,3,1,fire,1,0,Fire_burning,fire,False,2
3,110,3,1,?,0,0,_,?,False,3
3,111,3,2,She,0,0,_,she,False,4
3,112,3,2,'ll,0,0,_,will,False,5
3,113,3,2,choke,0,0,Cause_harm,choke,False,6
3,114,3,2,will,0,0,_,will,False,7
3,115,3,2,her,0,0,_,she,False,8
3,116,3,2,tails,0,0,Body_parts,tail,False,9
3,117,3,2,and,0,0,_,and,False,10
3,118,3,2,head,0,0,Body_parts,head,False,11
3,119,3,2,for,0,0,_,for,False,12
3,120,3,2,the,0,0,_,the,False,13
3,121,3,2,cakes,0,0,_,cake,False,14
3,122,3,2,?,0,0,_,?,False,15
4,123,4,0,all,0,0,_,all,False,-15
4,124,4,0,her,0,0,_,she,False,-14
4,125,4,0,boasted,1,1,Statement,boast,False,-13
4,126,4,0,knowledge,0,0,Awareness,knowledge,False,-12
4,127,4,0,and,0,0,_,and,False,-11
4,128,4,0,wisdom,0,0,Expertise,wisdom,False,-10
4,129,4,0,.,0,0,_,.,False,-9
4,130,4,1,And,0,0,_,and,False,-8
4,131,4,1,into,1,0,Goal,into,False,-7
4,132,4,1,perdition,0,0,_,perdition,False,-6
4,133,4,1,",",0,0,_,",",False,-5
4,134,4,1,or,0,0,_,or,False,-4
4,135,4,1,the,0,0,_,the,False,-3
4,136,4,1,lake,0,0,Natural_features,lake,False,-2
4,137,4,1,which,0,0,_,which,False,-1
4,138,4,1,burns,1,1,Fire_burning,burn,True,0
4,139,4,1,with,1,0,_,with,False,1
4,140,4,1,fire,0,0,_,fire,False,2
4,141,4,1,and,0,0,_,and,False,3
4,142,4,1,brimstone,0,0,_,brimstone,False,4
4,143,4,1,",",0,0,_,",",False,5
4,144,4,1,which,0,0,_,which,False,6
4,145,4,1,is,0,0,_,be,False,7
4,146,4,1,the,0,0,_,the,False,8
4,147,4,1,second,0,0,Ordinal_numbers,second,False,9
4,148,4,1,death,0,0,Death,death,False,10
4,149,4,1,",",0,0,_,",",False,11
4,150,4,1,she,0,0,_,she,False,12
4,151,4,1,goes,0,0,Motion,go,False,13
4,152,4,1,herself,0,0,_,herself,False,14
4,153,4,1,",",0,0,_,",",False,15
5,154,5,0,a,0,0,_,a,False,-15
5,155,5,0,Buddha,0,0,_,buddha,False,-14
5,156,5,0,",",0,0,_,",",False,-13
5,157,5,0,to,0,0,_,to,False,-12
5,158,5,0,determine,0,0,Contingency,determine,False,-11
5,159,5,0,exactly,0,0,_,exactly,False,-10
5,160,5,0,the,0,0,_,the,False,-9
5,161,5,0,number,0,0,Cardinal_numbers,number,False,-8
5,162,5,0,of,0,0,_,of,False,-7
5,163,5,0,times,0,0,Event_instance,time,False,-6
5,164,5,0,our,0,0,_,our,False,-5
5,165,5,0,bodies,0,0,Body_parts,body,False,-4
5,166,5,0,have,0,0,_,have,False,-3
5,167,5,0,thus,0,0,_,thus,False,-2
5,168,5,0,been,0,0,_,be,False,-1
5,169,5,0,burned,0,0,Fire_burning,burn,True,0
5,170,5,0,with,1,0,_,with,False,1
5,171,5,0,fire,0,0,_,fire,False,2
5,172,5,0,as,0,0,_,as,False,3
5,173,5,0,we,0,0,_,we,False,4
5,174,5,0,have,0,0,_,have,False,5
5,175,5,0,passed,1,1,Traversing,pass,False,6
5,176,5,0,from,1,0,_,from,False,7
5,177,5,0,birth,0,0,_,birth,False,8
5,178,5,0,to,1,0,_,to,False,9
5,179,5,0,birth,0,0,_,birth,False,10
5,180,5,0,in,1,0,_,in,False,11
5,181,5,0,the,0,0,_,the,False,12
5,182,5,0,round,1,1,_,round,False,13
5,183,5,0,of,0,0,_,of,False,14
5,184,5,0,existences,0,0,Existence,existence,False,15
6,185,6,0,into,1,0,_,into,False,-15
6,186,6,0,blood,0,0,_,blood,False,-14
6,187,6,0,#,0,0,_,#,False,-13
6,188,6,0,8Then,0,0,_,8then,False,-12
6,189,6,0,the,0,0,_,the,False,-11
6,190,6,0,second,0,0,Ordinal_numbers,second,False,-10
6,191,6,0,angel,0,0,_,angel,False,-9
6,192,6,0,sounded,0,0,Make_noise,sound,False,-8
6,193,6,0,:,0,0,_,:,False,-7
6,194,6,0,And,0,0,_,and,False,-6
6,195,6,0,something,0,0,_,something,False,-5
6,196,6,0,like,0,0,Similarity,like,False,-4
6,197,6,0,a,0,0,_,a,False,-3
6,198,6,0,great,0,0,Size,great,False,-2
6,199,6,0,mountain,0,0,Natural_features,mountain,False,-1
6,200,6,0,burning,0,0,Fire_burning,burn,True,0
6,201,6,0,with,1,0,_,with,False,1
6,202,6,0,fire,0,0,Fire_burning,fire,False,2
6,203,6,0,was,0,0,_,be,False,3
6,204,6,0,thrown,0,0,Cause_motion,throw,False,4
6,205,6,0,into,0,0,Goal,into,False,5
6,206,6,0,the,0,0,_,the,False,6
6,207,6,0,sea,0,0,Natural_features,sea,False,7
6,208,6,0,",",0,0,_,",",False,8
6,209,6,0,and,0,0,_,and,False,9
6,210,6,0,a,0,0,_,a,False,10
6,211,6,0,third,0,0,Part_whole,third,False,11
6,212,6,0,of,0,0,Partitive,of,False,12
6,213,6,0,the,0,0,_,the,False,13
6,214,6,0,sea,0,0,Natural_features,sea,False,14
6,215,6,0,became,0,0,Becoming,become,False,15
7,216,7,0,8:8,0,0,_,8:8,False,-15
7,217,7,0,),0,0,_,),False,-14
7,218,7,0,And,0,0,_,and,False,-13
7,219,7,0,the,0,0,_,the,False,-12
7,220,7,0,second,0,0,Ordinal_numbers,second,False,-11
7,221,7,0,angel,0,0,_,angel,False,-10
7,222,7,0,sounded,0,0,Make_noise,sound,False,-9
7,223,7,0,",",0,0,_,",",False,-8
7,224,7,0,and,0,0,_,and,False,-7
7,225,7,0,as,0,0,_,as,False,-6
7,226,7,0,it,0,0,_,it,False,-5
7,227,7,0,were,0,0,_,be,False,-4
7,228,7,0,a,0,0,_,a,False,-3
7,229,7,0,great,0,0,Size,great,False,-2
7,230,7,0,mountain,0,0,Natural_features,mountain,False,-1
7,231,7,0,burning,0,0,Fire_burning,burn,True,0
7,232,7,0,with,1,0,_,with,False,1
7,233,7,0,fire,0,0,Fire_burning,fire,False,2
7,234,7,0,was,0,0,_,be,False,3
7,235,7,0,cast,1,1,_,cast,False,4
7,236,7,0,into,0,0,Goal,into,False,5
7,237,7,0,the,0,0,_,the,False,6
7,238,7,0,sea,0,0,Natural_features,sea,False,7
7,239,7,0,:,0,0,_,:,False,8
7,240,7,0,and,0,0,_,and,False,9
7,241,7,0,the,0,0,_,the,False,10
7,242,7,0,third,0,0,Ordinal_numbers,third,False,11
7,243,7,0,part,0,0,Part_whole,part,False,12
7,244,7,0,of,0,0,Partitive,of,False,13
7,245,7,0,the,0,0,_,the,False,14
7,246,7,0,sea,0,0,Natural_features,sea,False,15
8,247,8,0,a,0,0,_,a,False,-15
8,248,8,0,tempest,1,1,_,tempest,False,-14
8,249,8,0,of,0,0,_,of,False,-13
8,250,8,0,destruction,0,0,Destroying,destruction,False,-12
8,251,8,0,.,0,0,_,.,False,-11
8,252,8,1,The,0,0,_,the,False,-10
8,253,8,1,second,0,0,Ordinal_numbers,second,False,-9
8,254,8,1,angel,0,0,_,angel,False,-8
8,255,8,1,sounded,0,0,Make_noise,sound,False,-7
8,256,8,1,",",0,0,_,",",False,-6
8,257,8,1,and,0,0,_,and,False,-5
8,258,8,1,a,0,0,_,a,False,-4
8,259,8,1,great,0,0,Size,great,False,-3
8,260,8,1,mountain,0,0,Natural_features,mountain,False,-2
8,261,8,1,",",0,0,_,",",False,-1
8,262,8,1,burning,0,0,Fire_burning,burn,True,0
8,263,8,1,with,1,0,_,with,False,1
8,264,8,1,fire,0,0,_,fire,False,2
8,265,8,1,",",0,0,_,",",False,3
8,266,8,1,was,0,0,_,be,False,4
8,267,8,1,cast,1,1,Cause_motion,cast,False,5
8,268,8,1,into,0,0,Goal,into,False,6
8,269,8,1,the,0,0,_,the,False,7
8,270,8,1,sea,0,0,Natural_features,sea,False,8
8,271,8,1,;,0,0,_,;,False,9
8,272,8,1,and,0,0,_,and,False,10
8,273,8,1,the,0,0,_,the,False,11
8,274,8,1,third,0,0,Ordinal_numbers,third,False,12
8,275,8,1,part,0,0,Part_whole,part,False,13
8,276,8,1,of,0,0,Partitive,of,False,14
8,277,8,1,the,0,0,_,the,False,15
9,278,9,0,of,0,0,_,of,False,-15
9,279,9,0,souls,0,0,_,soul,False,-14
9,280,9,0,to,1,0,_,to,False,-13
9,281,9,0,hell,0,0,_,hell,False,-12
9,282,9,0,;,0,0,_,;,False,-11
9,283,9,0,these,1,0,_,these,False,-10
9,284,9,0,shall,0,0,_,shall,False,-9
9,285,9,0,be,0,0,_,be,False,-8
9,286,9,0,taken,0,0,Taking,take,False,-7
9,287,9,0,and,0,0,_,and,False,-6
9,288,9,0,cast,1,1,Cause_motion,cast,False,-5
9,289,9,0,into,0,0,Goal,into,False,-4
9,290,9,0,the,0,0,_,the,False,-3
9,291,9,0,lake,0,0,Natural_features,lake,False,-2
9,292,9,0,which,0,0,_,which,False,-1
9,293,9,0,burns,1,1,Fire_burning,burn,True,0
9,294,9,0,with,1,0,_,with,False,1
